tid,attribute,correct_val
1467,sensor33,34.38
1468,sensor1,51.09
1468,sensor33,34.38
1469,sensor1,51.04
1469,sensor33,35.56
1470,sensor1,51.04
1470,sensor33,35.48
1471,sensor1,51.09
1471,sensor33,35.34
1472,sensor1,51.09
1472,sensor33,35.2
1473,sensor1,51.04
1473,sensor33,34.99
1474,sensor1,51.09
1474,sensor33,34.7
1475,sensor1,51.04
1475,sensor33,34.4
1476,sensor1,51.04
1476,sensor33,35.16
1477,sensor1,51.0
1477,sensor33,34.11
1478,sensor1,51.04
1478,sensor33,33.59
1479,sensor1,51.04
1479,sensor33,33.59
1480,sensor1,51.0
1480,sensor33,33.59
1481,sensor1,51.04
1481,sensor33,33.07
1482,sensor1,51.0
1482,sensor33,32.81
1483,sensor1,51.04
1483,sensor33,32.55
1484,sensor1,51.0
1484,sensor33,32.55
1485,sensor1,51.0
1485,sensor33,32.55
1486,sensor1,51.0
1486,sensor33,32.29
1487,sensor1,51.0
1487,sensor33,31.51
1488,sensor1,51.0
1488,sensor33,31.25
1511,sensor0,48.35
1511,sensor1,50.78
1512,sensor0,48.35
1512,sensor1,50.82
1513,sensor0,48.35
1513,sensor1,50.87
1514,sensor0,48.35
1514,sensor1,50.78
1515,sensor0,48.35
1515,sensor1,50.82
1516,sensor0,48.39
1516,sensor1,50.82
1517,sensor0,48.39
1517,sensor1,50.82
1518,sensor0,48.39
1518,sensor1,50.87
1519,sensor0,48.39
1519,sensor1,50.82
1520,sensor0,48.39
1520,sensor1,50.82
1521,sensor0,48.39
1521,sensor1,50.82
1522,sensor0,48.39
1522,sensor1,50.87
1523,sensor0,48.39
1523,sensor1,50.87
1524,sensor0,48.39
1524,sensor1,50.78
1525,sensor0,48.39
1525,sensor1,50.87
1525,sensor2,44.1
1525,sensor33,33.07
1526,sensor0,48.39
1526,sensor1,50.82
1526,sensor2,44.05
1526,sensor33,33.59
1527,sensor0,48.44
1527,sensor1,50.87
1527,sensor2,44.05
1527,sensor33,33.85
1528,sensor0,48.44
1528,sensor1,50.87
1528,sensor2,44.01
1528,sensor33,34.11
1529,sensor0,48.44
1529,sensor1,50.87
1529,sensor2,44.01
1529,sensor33,34.9
1530,sensor0,48.44
1530,sensor1,50.82
1530,sensor2,44.01
1530,sensor33,35.16
1531,sensor0,48.44
1531,sensor1,50.95
1531,sensor2,44.05
1531,sensor33,35.42
1532,sensor0,48.44
1532,sensor1,50.87
1532,sensor2,44.05
1532,sensor33,35.42
1533,sensor0,48.44
1533,sensor1,50.95
1533,sensor2,44.05
1533,sensor33,35.68
1534,sensor0,48.48
1534,sensor1,50.82
1534,sensor2,44.1
1534,sensor33,35.68
1535,sensor0,48.48
1535,sensor1,50.95
1535,sensor2,44.1
1535,sensor33,35.68
1536,sensor0,48.48
1536,sensor1,50.87
1536,sensor2,44.1
1536,sensor33,35.42
1537,sensor0,48.48
1537,sensor1,51.0
1537,sensor2,44.1
1537,sensor33,35.68
1538,sensor0,48.48
1538,sensor1,50.87
1538,sensor2,44.1
1538,sensor33,36.46
1539,sensor0,48.48
1539,sensor1,51.0
1539,sensor2,44.1
1539,sensor33,36.98
1540,sensor0,48.48
1540,sensor1,50.95
1540,sensor2,44.1
1540,sensor33,36.98
1541,sensor0,48.48
1541,sensor1,50.87
1541,sensor2,44.14
1541,sensor33,36.72
1542,sensor0,48.48
1542,sensor1,50.95
1542,sensor2,44.1
1542,sensor33,36.46
1543,sensor0,48.57
1543,sensor1,50.95
1543,sensor2,44.1
1543,sensor33,36.2
1544,sensor0,48.57
1544,sensor1,51.0
1544,sensor2,44.1
1544,sensor33,35.42
1545,sensor0,48.57
1545,sensor1,51.0
1545,sensor2,44.05
1545,sensor33,35.42
1546,sensor0,48.57
1546,sensor1,51.0
1546,sensor2,44.01
1546,sensor33,35.42
1547,sensor0,48.57
1547,sensor1,50.87
1547,sensor2,43.92
1547,sensor33,35.16
1548,sensor0,48.57
1548,sensor1,50.95
1548,sensor2,43.88
1548,sensor33,34.9
1549,sensor0,48.61
1549,sensor1,51.0
1549,sensor2,43.84
1549,sensor33,34.38
1550,sensor0,48.61
1550,sensor1,50.95
1550,sensor2,43.84
1550,sensor33,34.11
1551,sensor0,48.61
1551,sensor1,51.0
1552,sensor0,48.57
1552,sensor1,51.0
1553,sensor0,48.61
1553,sensor1,51.0
1554,sensor0,48.61
1554,sensor1,51.04
1555,sensor0,48.65
1555,sensor1,51.04
1596,sensor0,48.57
1596,sensor33,34.11
1597,sensor0,48.57
1597,sensor33,34.11
1598,sensor0,48.57
1598,sensor33,34.38
1599,sensor0,48.57
1599,sensor33,34.9
1600,sensor0,48.57
1600,sensor33,35.16
1601,sensor0,48.57
1601,sensor33,35.16
1602,sensor0,48.57
1602,sensor33,35.16
1603,sensor0,48.57
1603,sensor33,34.9
1604,sensor0,48.57
1604,sensor33,34.11
1605,sensor0,48.61
1605,sensor33,33.85
1606,sensor0,48.61
1606,sensor33,33.59
1607,sensor0,48.61
1607,sensor33,33.59
1608,sensor0,48.61
1608,sensor33,33.07
1609,sensor0,48.57
1609,sensor33,33.07
1610,sensor0,48.61
1610,sensor33,32.81
1611,sensor0,48.61
1611,sensor33,32.81
1612,sensor0,48.57
1612,sensor33,33.07
1613,sensor0,48.57
1613,sensor33,32.81
1614,sensor0,48.48
1614,sensor33,33.07
1615,sensor0,48.57
1615,sensor33,33.59
1616,sensor0,48.57
1616,sensor33,33.59
1617,sensor0,48.57
1617,sensor33,33.59
1618,sensor0,48.44
1618,sensor33,33.59
1619,sensor0,48.57
1619,sensor33,33.85
1620,sensor0,48.48
1620,sensor2,44.53
1620,sensor33,34.9
1621,sensor0,48.48
1621,sensor2,44.53
1621,sensor33,34.9
1622,sensor0,48.48
1622,sensor2,44.53
1622,sensor33,34.38
1623,sensor0,48.48
1623,sensor2,44.57
1623,sensor33,34.11
1624,sensor0,48.48
1624,sensor2,44.57
1624,sensor33,34.11
1625,sensor0,48.48
1625,sensor2,44.66
1625,sensor33,33.07
1626,sensor0,48.48
1626,sensor2,44.66
1626,sensor33,32.81
1627,sensor0,48.48
1627,sensor2,44.66
1627,sensor33,32.81
1628,sensor0,48.44
1628,sensor2,44.7
1628,sensor33,32.81
1629,sensor0,48.39
1629,sensor2,44.7
1629,sensor33,33.07
1630,sensor0,48.44
1630,sensor2,44.75
1630,sensor33,34.35
1631,sensor0,48.44
1631,sensor2,44.75
1631,sensor33,35.68
1632,sensor0,48.44
1632,sensor2,44.79
1632,sensor33,36.2
