sensor0,sensor1,sensor2,sensor32,sensor33,sensor34
46.74,49.57,43.71,46.61,29.69,70.05
46.74,49.65,43.71,47.14,29.17,68.23
46.74,49.57,43.71,47.14,29.17,67.71
46.74,49.65,43.79,46.88,29.95,66.93
46.74,49.57,43.79,46.09,30.73,66.41
46.74,49.65,43.79,45.83,30.61,63.8
46.7,49.57,43.79,44.79,30.44,60.94
46.7,49.65,43.79,44.27,31.77,58.85
46.7,49.57,43.79,44.01,31.25,57.55
46.7,49.65,43.79,44.53,30.99,57.55
46.7,49.65,43.79,44.79,30.47,61.46
46.7,49.57,43.79,45.31,30.47,81.5
46.7,49.65,43.79,46.88,30.21,80.47
46.7,49.7,43.79,47.92,29.95,86.12
46.7,49.7,43.79,47.14,29.95,87.73
46.7,49.65,43.79,45.83,29.69,88.87
46.7,49.7,43.79,44.53,29.95,89.92
46.66,49.65,43.79,43.49,29.95,90.82
46.66,49.7,43.79,41.93,30.47,91.3
46.66,49.7,43.79,41.93,30.47,91.53
46.66,49.7,43.79,41.41,30.47,91.6
46.66,49.74,43.79,41.41,30.99,91.51
46.66,49.7,43.79,41.41,30.99,90.63
46.66,49.74,43.79,40.89,30.99,89.91
46.66,49.74,43.71,40.62,30.47,88.97
46.61,49.74,43.71,40.1,30.47,87.91
46.61,49.74,43.79,39.06,30.99,86.69
46.61,49.78,43.79,39.06,31.51,89.58
46.61,49.74,43.79,39.32,31.51,84.64
46.61,49.78,43.79,39.32,31.25,81.25
46.61,49.74,43.79,39.58,31.25,80.99
46.53,49.74,43.79,43.05,30.99,82.29
46.53,49.74,43.79,44.27,30.21,82.03
46.53,49.74,43.79,45.83,30.99,80.47
46.53,49.78,43.79,46.61,31.51,78.12
46.53,49.78,43.79,47.14,31.77,75.26
46.53,49.74,43.79,47.14,31.77,71.61
46.48,49.78,43.79,47.14,31.77,69.53
46.53,49.87,43.84,46.88,31.77,67.71
46.53,49.87,43.84,46.88,32.29,66.15
46.48,49.78,43.84,46.61,32.55,65.36
46.48,49.78,43.84,45.83,33.07,63.54
46.48,49.87,43.84,45.83,33.07,62.24
46.48,49.87,43.84,45.31,34.11,62.24
46.48,49.87,43.84,44.53,35.42,62.24
46.48,49.87,43.84,44.27,35.42,61.72
46.48,49.91,43.84,44.01,34.9,61.2
46.48,49.91,43.84,43.49,34.38,59.9
46.48,49.78,43.84,42.97,34.11,58.33
46.48,49.87,43.84,41.93,33.07,57.55
46.48,49.87,43.84,42.19,32.29,60.16
46.48,49.91,43.84,42.97,31.25,64.32
46.48,49.91,43.84,43.49,30.47,66.93
